mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
3.54109787940979,0.11013944874395878,1.3591389656066895,0.28035970800093907,balanced,10,log2,2,20,100,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 100}",,,,,,1
3.993051211039225,0.20027037264971162,2.963833491007487,0.007651705465798137,balanced,10,log2,2,20,200,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 200}",,,,,,1
5.2433187166849775,0.3498051401548145,2.810793956120809,0.2736982465818288,balanced,10,log2,2,20,300,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 300}",,,,,,1
3.844334363937378,0.29047840898604343,2.8946801821390786,0.1883964439015231,balanced,10,log2,5,5,100,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 100}",,,,,,1
5.384848594665527,0.3805793475736093,2.0491360823313394,0.16592940207743276,balanced,10,log2,5,5,200,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 200}",,,,,,1
6.210918029149373,0.10546417137409853,2.380772034327189,0.1835348561117212,balanced,10,log2,5,5,300,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 300}",,,,,,1
3.5430936018625894,0.2801788693191195,2.83958633740743,0.4096503869806164,balanced,10,log2,5,10,100,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",,,,,,1
3.9283254146575928,0.4020239956052092,3.3022944132486978,0.20442646911327778,balanced,10,log2,5,10,200,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 200}",,,,,,1
5.687796036402385,0.24074812851973526,2.0820442835489907,0.9919844416975302,balanced,10,log2,5,10,300,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 300}",,,,,,1
3.5353642304738364,0.27215511251696095,1.6906968752543132,0.2894246097729452,balanced,10,log2,5,20,100,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 20, 'n_estimators': 100}",,,,,,1
5.250079234441121,0.3567814970413367,2.5749468008677163,0.7369120133231247,balanced,10,log2,5,20,200,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 20, 'n_estimators': 200}",,,,,,1
4.820735136667888,0.5559743638698605,2.8004023234049478,0.21316181646034563,balanced,10,log2,5,20,300,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 20, 'n_estimators': 300}",,,,,,1
3.5816006660461426,1.0504431881423197,2.0727383295694985,0.47513512804233,balanced,10,log2,10,5,100,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 100}",,,,,,1
5.316052754720052,0.6568989928621368,2.0943876107533774,0.4215005675390571,balanced,10,log2,10,5,200,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 200}",,,,,,1
5.788336833318074,0.38552908346970416,2.226104180018107,0.2841838263341466,balanced,10,log2,10,5,300,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 300}",,,,,,1
4.757068792978923,0.3298230946492345,1.4311922391255696,0.17769551994090718,balanced,10,log2,10,10,100,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 100}",,,,,,1
4.14096204439799,0.452427420554952,2.1824498176574707,0.12117011288919963,balanced,10,log2,10,10,200,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 200}",,,,,,1
5.403177817662557,0.11282683656390631,3.6564101378122964,0.2198689429473235,balanced,10,log2,10,10,300,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 300}",,,,,,1
3.0673533280690513,0.09422632054747239,2.723167896270752,0.5252550418872498,balanced,10,log2,10,20,100,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 10, 'min_samples_split': 20, 'n_estimators': 100}",,,,,,1
5.400563796361287,0.5117096336512347,2.7563161055246987,0.27595274356888655,balanced,10,log2,10,20,200,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 10, 'min_samples_split': 20, 'n_estimators': 200}",,,,,,1
6.59313686688741,0.3579694169814718,2.4023727575937905,0.17177469809535081,balanced,10,log2,10,20,300,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 10, 'min_samples_split': 20, 'n_estimators': 300}",,,,,,1
5.208779573440552,0.08909866185931464,2.2408551375071206,0.1616848106521883,balanced,15,sqrt,2,5,100,"{'class_weight': 'balanced', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",,,,,,1
5.4511120319366455,0.6960347897136461,3.854529539744059,0.2520134020575065,balanced,15,sqrt,2,5,200,"{'class_weight': 'balanced', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",,,,,,1
